distributor,url,title,developer,package_name,title_Xpath,
AppsApk,https://www.appsapk.com/facebook-analytics/,Facebook Analytics APK, Facebook, com.facebook.analytics,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-home/,Facebook Home APK,,,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-messenger-lite/,Facebook Messenger Lite APK,Facebook,com.facebook.mlite,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-ads-manager-190-0-0-49-119/,Facebook Ads Manager 190.0.0.49.119 APK,Facebook,com.facebook.adsmanager,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-messenger/,Facebook Messenger APK,,,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-groups/,Facebook Groups APK,,,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-for-android/,Facebook for Android APK, Facebook, com.facebook.katana,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-266-0-0-56-124/,Facebook 266.0.0.56.124 APK,Facebook,com.facebook.katana,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-ads-manager/,Facebook Ads Manager APK, Facebook, com.facebook.adsmanager,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-275-0-0-49-127/,Facebook 275.0.0.49.127 APK,Facebook,com.facebook.katana,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-265-0-0-61-103/,Facebook 265.0.0.61.103 APK,Facebook,com.facebook.katana,/html/body/div/div/div[2]/div/main/article/header/h1,
AppsApk,https://www.appsapk.com/facebook-266-0-0-56-124-2/,Facebook 266.0.0.56.124 APK,Facebook,com.facebook.katana,/html/body/div/div/div[2]/div/main/article/header/h1,
F-Droid,https://f-droid.org/en/packages/org.surrel.facebooknotifications/,'Notifications for Facebook,,,/html/body/div/div/div[1]/article/header/div/h3,
